"EPSG";"string"
None;nan
"EPSG:4326";"urn:ogc:def:crs:EPSG::4326"
"EPSG:25832";"ETRS89-GRS80"
"EPSG:4647";"http://www.opengis.net/def/crs/EPSG/0/4647"
"EPSG:32736";"EPSG:32736 - WGS"
"EPSG:4326";"urn:ogc:def:crs:EPSG:4326"
"EPSG:25832";"EPSG:25832"
"EPSG:3035";"EPSG:3035"
"EPSG:3044";"EPSG:3044"
"EPSG:25832";"http://www.opengis.net/def/crs/EPSG/0/25832"
"EPSG:25833";"urn:ogc:def:crs:EPSG::25833"
"EPSG:4647";"urn:ogc:def:crs:EPSG::4647"
"EPSG:32636";"EPSG:32636 - WGS"
"EPSG:4326";"4326 - Geographic Coordinate System: GCS_WGS_1984"
"EPSG:32637";"EPSG:32637 - WGS"
"EPSG:25833";"EPSG:25833"
"EPSG:4326";"WGS 1984"
"EPSG:25832";"EPSG 25832: ETRS89 / UTM Zone 32N"
"EPSG:3812";"EPSG:3812"
"EPSG:25832";"urn:ogc:def:crs:EPSG:25832"
"EPSG:4326";"+proj=igh +datum=WGS84 +no_defs +towgs84=0,0,0"
"EPSG:25832";"ETRS89 / UTM zone 32N"
"EPSG:32628";"EPSG:32628 - WGS 84 / UTM zone 28N"
"EPSG:25832";"ETRS89/UTM Zone 32N (EPSG:25832)"
"EPSG:3035";"EPSG 3035: ETRS89 / LAEA Europa"
"EPSG:31287";"http://www.opengis.net/def/crs/EPSG/0/31287"
"EPSG:4326";"EPSG:4326"
"EPSG:3035";"http://www.opengis.net/def/crs/EPSG/0/3035"
"EPSG:25833";"http://www.opengis.net/def/crs/EPSG/0/25833"
"EPSG:10592";"+proj=laea +lat_0=5 +lon_0=20 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs"
"EPSG:4326";"EPSG:4326 - WGS84"
"EPSG:3794";"http://www.opengis.net/def/crs/EPSG/0/3794"
"EPSG:31370";"EPSG:31370"
"EPSG:32736";"EPSG:32736 - WGS 84 / UTM zone 36S"
"EPSG:3765";"EPSG:3765"
"EPSG:4326";"EPSG:4326 - WGS 84"
"EPSG:4326";"EPSG:4326 - WGS 1984"
"EPSG:4026";"EPSG:4026"
"EPSG:3857";"EPSG:3857"
"EPSG:32736";"urn:ogc:def:crs:EPSG::32736"
"EPSG:25833";"EPSG 25833: ETRS89 / UTM Zone 33N"
"EPSG:3301";"http://www.opengis.net/def/crs/EPSG/0/3301"
"EPSG:4258";"http://www.opengis.net/def/crs/EPSG/0/4258"
"EPSG:28992";"urn:ogc:def:crs:EPSG::28992"
"EPSG:3844";"Pulkovo 1942(58) / Stereo70"
"EPSG:4258";"urn:ogc:def:crs:EPSG::4258"
"EPSG:4258";"ETRS89 (EPSG:4258)"
"EPSG:4326";"GCS_WGS_1984"
"EPSG:4326";"WGS 1984 - Geographic"
"EPSG:4258";"EPSG:4258"
"EPSG:32644";"EPSG:32644 - WGS 84 / UTM zone 44N"
"EPSG:31468";"EPSG 31468: DHDN / Gauss-Krüger Zone 4"
"EPSG:3061";"urn:ogc:def:crs:EPSG::3061"
"EPSG:25830";"EPSG:25830 (ETRS89 UTM Huso 30 N)"
"EPSG:32635";"WGS84 ZoneUTM35N"
"EPSG:32636";"EPSG:32636 - WGS 84 / UTM zone 36N"
"EPSG:3879";"EPSG:3879"
"EPSG:31466";"EPSG:31466"
"EPSG:31370";"Belge 1972 / Belgian Lambert 72"
"EPSG:4258";"EPSG:4258 (ETRS89 coordenadas geográficas)"
"EPSG:21782";"http://www.opengis.net/def/crs/EPSG/0/21782"
"EPSG:32630";"EPSG:32630 - WGS 84 / UTM zone 30N"
"EPSG:31467";"urn:ogc:def:crs:EPSG:31467"
"EPSG:25832";"EPSG:EPSG:25832"
"EPSG:31466";"urn:ogc:def:crs:EPSG::31466"
"EPSG:3879";"ETRS89 / GK25FIN (EPSG:3879)"
"EPSG:2169";"http://www.opengis.net/def/crs/EPSG/0/2169"
"EPSG:4258";"urn:ogc:def:crs:EPSG:7.1:4258"
"EPSG:32651";"urn:ogc:def:crs:EPSG::32651"
"EPSG:3067";"ETRS89 / TM35FIN(E,N) (EPSG:3067)"
"EPSG:5650";"EPSG 5650: ETRS89 / UTM Zone 33N (zE-N)"
"EPSG:3035";"urn:ogc:def:crs:EPSG:3035"
"EPSG:32630";"EPSG:32630 - WGS"
"EPSG:31700";"http://www.opengis.net/def/crs/EPSG/0/31700"
"EPSG:2056";"EPSG:2056"
"EPSG:3044";"http://www.opengis.net/def/crs/EPSG/0/3044"
"EPSG:32636";"urn:ogc:def:crs:EPSG:7.1:32636"
"EPSG:4258";"EPSG 4258: ETRS89 / geographisch"
"EPSG:4258";"ETRS89"
"EPSG:3044";"ETRS89 / ETRS-TM32"
"EPSG:4326";"WGS84"
"EPSG:3057";"urn:ogc:def:crs:EPSG::3057"
"EPSG:5221";"S-JTSK (Ferro)/Krovak East North"
"EPSG:3763";"urn:ogc:def:crs:EPSG::3763"
"EPSG:3763";"GeoTIFF"
"EPSG:1103";"ETRS89 (geographic 2D)"
"EPSG:4326";"urn:ogc:def:crs:EPSG::84"
"EPSG:25832";"European Terrestrial Reference System 1989 - Geodetic Reference System 1980 (ETRS89-GRS80)"
"EPSG:4326";"urn:ogc:def:crs:EPSG:"
"EPSG:3067";"EPSG:3067"
"EPSG:21781";"EPSG:21781"
"EPSG:3006";"http://www.opengis.net/def/crs/EPSG/0/3006"
"EPSG:31467";"urn:ogc:def:crs:EPSG::31467"
"EPSG:5514";"S-JTSK 3.kvadrant (5514)"
"EPSG:5514";"Krovak 3.quadrant"
"EPSG:4326";"EPSG 4326: WGS 84 / geographisch"
"EPSG:4326";"4326 - Geographic projection - WGS 1984"
"EPSG:4326";"Geographic Coordinate System: GCS_WGS_1984")