subject_label,vocab_label,matched_label,matched_lang,is_mt,subject_id,subject_uri,vocab_identifier,fuzzy_score
microbial activity,soil microbial activity,soil microbial activity,en,False,158939,,https://w3id.org/eusoilvoc#SoilMicrobialActivity,88
106026 ecosystem research,ecosystem services,ecosystem service,en,False,158947,,https://w3id.org/eusoilvoc#EcosystemServices,80
soil microbiology,soil microfauna,soil microbiota,en,False,158948,,https://w3id.org/eusoilvoc#SoilMicrofauna,81
ekologi,geology,Geologie,de,False,158952,,https://w3id.org/eusoilvoc#Geology,80
ecology,geology,geology,en,False,158953,,https://w3id.org/eusoilvoc#Geology,86
carbon,carbonate,carbonate,en,False,158957,,https://w3id.org/eusoilvoc#Carbonate,80
soc content,soil contents,soil content,en,False,158988,,https://w3id.org/eusoilvoc#SoilContents,87
soil stabilization,soil salinization,soil salinization,en,False,159059,,https://w3id.org/eusoilvoc#SoilSalinization,86
water,weather,weather,en,False,159064,,https://w3id.org/eusoilvoc#Weather,83
soil pollutants,soil pollution,soil pollution,en,False,159072,,https://w3id.org/eusoilvoc#SoilPollution,83
soil microbiome,soil microfauna,soil microbiota,en,False,160133,,https://w3id.org/eusoilvoc#SoilMicrofauna,87
soil science,soil subsidence,soil subsidence,en,False,159105,,https://w3id.org/eusoilvoc#SoilSubsidence,81
biological process,soil biological processes,soil biological process,en,False,159142,,https://w3id.org/eusoilvoc#SoilBiologicalProcesses,88
multiple ecosystem services,ecosystem services,ecosystem services,en,False,159156,,https://w3id.org/eusoilvoc#EcosystemServices,80
soil modeling,soil melting,soil melting,en,False,159204,,https://w3id.org/eusoilvoc#SoilMelting,88
solute transport,soil transport,soil transport,en,False,159205,,https://w3id.org/eusoilvoc#SoilTransport,87
soils,soil,soil,en,False,159210,,https://w3id.org/eusoilvoc#Soil,89
indicators,soil indicators,soil indicators,en,False,159275,,https://w3id.org/eusoilvoc#SoilIndicators,80
soil ecosystem services,ecosystem services,ecosystem services,en,False,159276,,https://w3id.org/eusoilvoc#EcosystemServices,88
organic matter,soil organic matter,soil organic matter,en,False,159279,,https://w3id.org/eusoilvoc#SoilOrganicMatter,85
soil improvement,soil movement,soil movement,en,False,159280,,https://w3id.org/eusoilvoc#SoilMovement,90
incubation,inundation,inundation,en,False,159288,,https://w3id.org/eusoilvoc#Inundation,80
soil profile,soil particles,soil particle,en,False,160234,,https://w3id.org/eusoilvoc#SoilParticles,80
soil profiles,soil particles,soil particles,en,False,160236,,https://w3id.org/eusoilvoc#SoilParticles,81
carbone,carbonate,carbonate,en,False,159309,,https://w3id.org/eusoilvoc#Carbonate,88
pesticides,pesticide use,pesticide use,en,False,159314,,https://w3id.org/eusoilvoc#PesticideUse,87
agroécologie,geology,géologie,fr,False,159328,,https://w3id.org/eusoilvoc#Geology,80
land degradation,soil degradation,soil degradation,en,False,159361,,https://w3id.org/eusoilvoc#SoilDegradation,81
denitrification,soil denitrification,soil denitrification,en,False,159380,,https://w3id.org/eusoilvoc#SoilDenitrification,86
soil nutrient imbalance,soil productivity,soil nutrient balance,en,False,159412,,https://w3id.org/eusoilvoc#SoilProductivity,95
salinization,salinisation,salinisation,en,False,159413,,https://w3id.org/eusoilvoc#Salinisation,92
ghg and climate regulation,climate regulation,climate regulation,en,False,159425,,https://w3id.org/eusoilvoc#ClimateRegulation,82
soil contamination,soil contaminants,soil contaminant,en,False,159437,,https://w3id.org/eusoilvoc#SoilContaminants,88
n-mineralization,soil mineralization,soil mineralization,en,False,159450,,https://w3id.org/eusoilvoc#SoilMineralization,80
tillage,mulching,paillage,fr,False,159458,,https://w3id.org/eusoilvoc#Mulching,80
evaluation,evapouration,evapouration,en,False,159490,,https://w3id.org/eusoilvoc#Evapouration,82
land management,soil management,soil management,en,False,159497,,https://w3id.org/eusoilvoc#SoilManagement,80
2511.04 química de suelos,soil chemical,química del suelo,es,True,159505,,https://w3id.org/eusoilvoc#SoilChemical,84
soil sampling,soil sealing,soil sealing,en,False,159511,,https://w3id.org/eusoilvoc#SoilSealing,88
contaminants,soil contaminants,soil contaminants,en,False,159536,,https://w3id.org/eusoilvoc#SoilContaminants,83
environmental pollution,environmental factors,environmental conditions,en,False,159547,,https://w3id.org/eusoilvoc#EnvironmentalFactors,81
management,soil management,soil management,en,False,160158,,https://w3id.org/eusoilvoc#SoilManagement,80
environmental health,environmental factors,environmental factor,en,False,160161,,https://w3id.org/eusoilvoc#EnvironmentalFactors,80
soil organic carbon (soc),soil organic carbon loss,soil organic carbon loss,en,False,159590,,https://w3id.org/eusoilvoc#SOCLoss,86
ghg emissions,emissions,emissions,en,False,159597,,https://w3id.org/eusoilvoc#Emissions,82
soil modelling,soil melting,soil melting,en,False,159600,,https://w3id.org/eusoilvoc#SoilMelting,85
crop production,food production,food production,en,False,159604,,https://w3id.org/eusoilvoc#FoodProduction,80
dinitrogen,nitrogen,nitrogen,en,False,159606,,https://w3id.org/eusoilvoc#Nitrogen,89
soil information,soil formation,soil formation,en,False,159625,,https://w3id.org/eusoilvoc#SoilFormation,93
soil conservation,soil consolidation,soil consolidation,en,False,159631,,https://w3id.org/eusoilvoc#SoilConsolidation,80
environmental economics,environmental factors,environmental conditions,en,False,160172,,https://w3id.org/eusoilvoc#EnvironmentalFactors,81
boreal,boron,bore,fr,False,159718,,https://w3id.org/eusoilvoc#Boron,80
saline soil classification,soil classification,soil classification,en,False,159758,,https://w3id.org/eusoilvoc#SoilClassification,84
soil surface properties,soil charge properties,soil charge properties,en,False,159768,,https://w3id.org/eusoilvoc#SoilChargeProperties,80
dissolved organic carbon,soil organic carbon,soil organic carbon,en,False,159771,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,84
groundcovers,ground cover,ground cover,en,False,159773,,https://w3id.org/eusoilvoc#GroundCover,92
atmosphere,soil air,soil atmosphere,en,False,159780,,https://w3id.org/eusoilvoc#SoilAir,80
environmental monitoring,environmental factors,environmental conditions,en,False,159800,,https://w3id.org/eusoilvoc#EnvironmentalFactors,83
mitigation,irrigation,irrigation,en,False,159806,,https://w3id.org/eusoilvoc#Irrigation,80
bulk density,bulk density peat,bulk density peat,en,False,159856,,https://w3id.org/eusoilvoc#BulkDensityPeat,83
soil organic carbon content,soil organic matter contents,soil organic matter content,en,False,159858,,https://w3id.org/eusoilvoc#SoilOrganicMatterContents,85
topsoil properties,soil properties,soil properties,en,False,159862,,https://w3id.org/eusoilvoc#SoilProperties,91
soil organic carbon stock,soil organic carbon loss,soil organic carbon loss,en,False,159863,,https://w3id.org/eusoilvoc#SOCLoss,86
soil cover,salt cover,salt cover,en,False,159896,,https://w3id.org/eusoilvoc#SaltCover,80
soil restoration,soil respiration,soil respiration,en,False,159902,,https://w3id.org/eusoilvoc#SoilRespiration,88
identification,soil denitrification,soil denitrification,en,False,159911,,https://w3id.org/eusoilvoc#SoilDenitrification,82
socloss,soil organic carbon loss,SOC loss,en,False,159932,,https://w3id.org/eusoilvoc#SOCLoss,93
vegetation stripes,vegetation,vegetation types,en,False,159954,,https://w3id.org/eusoilvoc#Vegetation,88
subsoil compaction,soil compaction,soil compaction,en,False,159985,,https://w3id.org/eusoilvoc#SoilCompaction,91
topsoil compaction,soil compaction,soil compaction,en,False,159986,,https://w3id.org/eusoilvoc#SoilCompaction,91
n2o emissions,emissions,emissions,en,False,160054,,https://w3id.org/eusoilvoc#Emissions,82
soil parameter,soil separate,soil separate,en,False,160091,,https://w3id.org/eusoilvoc#SoilSeparate,81
soil carbon storage,soil water storage,soil water storage,en,False,160118,,https://w3id.org/eusoilvoc#SoilWaterStorage,81
respiration,transpiration,transpiration,en,False,160214,,https://w3id.org/eusoilvoc#Transpiration,83
potato production,food production,food production,en,False,160293,,https://w3id.org/eusoilvoc#FoodProduction,81
wasserbewegung,soil water movement,Bodenwasserbewegung,de,False,161151,,https://w3id.org/eusoilvoc#SoilWaterMovement,85
bodennutzung,soil settlement,Bodensetzung,de,True,161199,,https://w3id.org/eusoilvoc#SoilSettlement,83
wasserbindung,soil water retention,Bodenwasserbindung,de,False,161256,,https://w3id.org/eusoilvoc#SoilWaterRetention,84
photorespiration,root respiration,root respiration,en,False,160384,,https://w3id.org/eusoilvoc#RootRespiration,81
cell respiration,soil respiration,soil respiration,en,False,160385,,https://w3id.org/eusoilvoc#SoilRespiration,81
climate action,climate regulation,climate regulation,en,False,160439,,https://w3id.org/eusoilvoc#ClimateRegulation,81
wasserdurchlässigkeit,soil water permeability,Bodenwasserdurchlässigkeit,de,True,161267,,https://w3id.org/eusoilvoc#SoilWaterPermeability,83
soil sensing,soil sealing,soil sealing,en,False,160494,,https://w3id.org/eusoilvoc#SoilSealing,83
"soil, eu mission",soil gaseous emission,soil gaseous emission,en,False,160496,,https://w3id.org/eusoilvoc#SoilGaseousEmission,81
soil o-live,soil organisms,soil life,en,False,160502,,https://w3id.org/eusoilvoc#SoilOrganisms,80
fertilizers,fertiliser use,fertiliser use,en,False,160563,,https://w3id.org/eusoilvoc#FertiliserUse,80
sostanza organica del terreno,soil organic matter,Sostanza organica del suolo,it,False,160612,,https://w3id.org/eusoilvoc#SoilOrganicMatter,82
no-till,no till,no till,en,False,160613,,https://w3id.org/eusoilvoc#NoTill,86
no emissions,emissions,emissions,en,False,160616,,https://w3id.org/eusoilvoc#Emissions,86
emissioni n2o,emissions,emissioni,it,True,160619,,https://w3id.org/eusoilvoc#Emissions,82
bodenverbreitung,soil tillage,Bodenbearbeitung,de,True,161316,,https://w3id.org/eusoilvoc#SoilTillage,88
soil-moisture,soil moisture,soil moisture,en,False,161332,,https://w3id.org/eusoilvoc#SoilMoisture,92
bodenkarte,soil cohesion,Bodenart,de,False,161349,,https://w3id.org/eusoilvoc#SoilCohesion,89
arsen,sand,Arena,es,False,161367,,https://w3id.org/eusoilvoc#Sand,80
bodenbelastung,soil aeration,Bodenbelüftung,de,True,161371,,https://w3id.org/eusoilvoc#SoilAeration,86
gesamtgehalt,boron total elements,Bor – Gesamtgehalt,de,True,161376,,https://w3id.org/eusoilvoc#BoronTotalElements,80
sickerwasser,soil seepage,Bodensickerwasser,de,True,161393,,https://w3id.org/eusoilvoc#SoilSeepage,83
pédologie,lithology,pétrologie,fr,False,162946,,https://w3id.org/eusoilvoc#Lithology,84
soil-texture,soil cohesion,soil texture,en,False,161423,,https://w3id.org/eusoilvoc#SoilCohesion,92
classification,void classification,void classification,en,False,161424,,https://w3id.org/eusoilvoc#VoidClassification,85
basic soil properties,soil properties,soil properties,en,False,161442,,https://w3id.org/eusoilvoc#SoilProperties,83
soilr,soil,soil,en,False,161598,,https://w3id.org/eusoilvoc#Soil,89
lmineralization,soil mineralization,soil mineralization,en,False,160714,,https://w3id.org/eusoilvoc#SoilMineralization,88
sonochemical,soil chemical,soil chemical,en,False,160716,,https://w3id.org/eusoilvoc#SoilChemical,80
species sensitivity,soil sensitivity,soil sensitivity,en,False,160775,,https://w3id.org/eusoilvoc#SoilSensitivity,80
biodegradation,soil desertification,Bodendegradation,de,True,160782,,https://w3id.org/eusoilvoc#SoilDesertification,87
groundwater pollution,groundwater reproduction,groundwater reproduction,en,False,160784,,https://w3id.org/eusoilvoc#GroundwaterReproduction,84
groundwater quality,water quality,water quality,en,False,160787,,https://w3id.org/eusoilvoc#WaterQuality,81
vapor pressure,soil vapour pressure,soil vapour pressure,en,False,160819,,https://w3id.org/eusoilvoc#SoilVapourPressure,82
bodenschätzung,soil settlement,Bodensetzung,de,True,161460,,https://w3id.org/eusoilvoc#SoilSettlement,81
soil-erosion,soil erosion,soil erosion,en,False,161499,,https://w3id.org/eusoilvoc#SoilErosion,92
environmental covariates,environmental factors,environmental factors,en,False,161513,,https://w3id.org/eusoilvoc#EnvironmentalFactors,80
temperature,soil temperature,soil temperature,en,False,161518,,https://w3id.org/eusoilvoc#SoilTemperature,81
island,sand,sand,en,False,161549,,https://w3id.org/eusoilvoc#Sand,80
soil minerals,soil clay mineral,soil clay mineral,en,False,161571,,https://w3id.org/eusoilvoc#SoilClayMineral,80
soiltype,soil types,soil type,en,False,161470,,https://w3id.org/eusoilvoc#SoilTypes,94
bodendaten,soil age,Bodenalter,de,False,161471,,https://w3id.org/eusoilvoc#SoilAge,80
seasons,season,season,en,False,161621,,https://w3id.org/eusoilvoc#Season,92
land-use,land use,land use,en,False,161627,,https://w3id.org/eusoilvoc#LandUse,88
soil carbon data,soil carbon density,soil carbon density,en,False,161633,,https://w3id.org/eusoilvoc#SoilCarbonDensity,80
soil radiocarbon,soil organic carbon,soil organic carbon,en,False,161637,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,80
stem respiration,root respiration,root respiration,en,False,161643,,https://w3id.org/eusoilvoc#RootRespiration,81
decomposition,peat decompostion,peat decompostion,en,False,161685,,https://w3id.org/eusoilvoc#PeatDecompostion,80
litter quality,water quality,water quality,en,False,161695,,https://w3id.org/eusoilvoc#WaterQuality,81
microfauna,soil microfauna,soil microfauna,en,False,161708,,https://w3id.org/eusoilvoc#SoilMicrofauna,80
microbiota,microbes,Microbios,es,False,161747,,https://w3id.org/eusoilvoc#Microbes,84
soil microhabitat,soil microfauna,soil microbiota,en,False,161748,,https://w3id.org/eusoilvoc#SoilMicrofauna,88
soil organic matter fractions,soil organic matter contents,soil organic matter contents,en,False,161759,,https://w3id.org/eusoilvoc#SoilOrganicMatterContents,84
environmental impact,environmental factors,environmental factor,en,False,161770,,https://w3id.org/eusoilvoc#EnvironmentalFactors,85
biotic properties,soil properties,soil properties,en,False,161773,,https://w3id.org/eusoilvoc#SoilProperties,81
hydrophobicity,soil hydrophobicity,soil hydrophobicity,en,False,161777,,https://w3id.org/eusoilvoc#SoilHydrophobicity,85
soil water retention curve,soil water retention,soil water retention,en,False,161778,,https://w3id.org/eusoilvoc#SoilWaterRetention,87
soil hydraulic properties,soil thermal properties,soil thermal properties,en,False,161782,,https://w3id.org/eusoilvoc#SoilThermalProperties,83
eu mission,emissions,emission,en,False,162989,,https://w3id.org/eusoilvoc#Emissions,89
pesticide,pesticide use,pesticide use,en,False,163037,,https://w3id.org/eusoilvoc#PesticideUse,82
sand content,salt contents,salt content,en,False,163079,,https://w3id.org/eusoilvoc#SaltContents,83
productividad de la tierra,biomass productivity,productividad de la biomasa,es,True,161823,,https://w3id.org/eusoilvoc#BiomassProductivity,83
soil heath,soil health,soil health,en,False,161833,,https://w3id.org/eusoilvoc#SoilHealth,95
crop classification,void classification,void classification,en,False,161838,,https://w3id.org/eusoilvoc#VoidClassification,84
degradation,soil desertification,Bodendegradation,de,True,161843,,https://w3id.org/eusoilvoc#SoilDesertification,81
soil microbes,soil micropore,soil micropore,en,False,161845,,https://w3id.org/eusoilvoc#SoilMicropore,81
land fragmentation,soil fragmentation,soil fragmentation,en,False,161864,,https://w3id.org/eusoilvoc#SoilFragmentation,83
soil organic carbon density,soil carbon density,soil carbon density,en,False,161872,,https://w3id.org/eusoilvoc#SoilCarbonDensity,83
spatial aggregation,soil aggregation,soil aggregation,en,False,161874,,https://w3id.org/eusoilvoc#SoilAggregation,86
particle size distribution,soil particle size distribution,soil particle size distribution,en,False,161880,,https://w3id.org/eusoilvoc#SoilParticleSizeDistribution,91
grain,rain,rain,en,False,161882,,https://w3id.org/eusoilvoc#Rain,89
mission,emissions,emission,en,False,161887,,https://w3id.org/eusoilvoc#Emissions,93
land class,land use class,land use class,en,False,161888,,https://w3id.org/eusoilvoc#LandUseClass,83
soil mission,soil dispersion,soil dispersion,en,False,161901,,https://w3id.org/eusoilvoc#SoilDispersion,81
soil health indicators,soil indicators,soil indicators,en,False,161905,,https://w3id.org/eusoilvoc#SoilIndicators,81
atmospheric conditions,weather,weather conditions,en,False,161908,,https://w3id.org/eusoilvoc#Weather,80
ecosystem science,ecosystem services,ecosystem service,en,False,161928,,https://w3id.org/eusoilvoc#EcosystemServices,82
hot temperature,soil temperature,soil temperature,en,False,161929,,https://w3id.org/eusoilvoc#SoilTemperature,84
conventional farming,conventional drainage,conventional drainage,en,False,163104,,https://w3id.org/eusoilvoc#ConventionalDrainage,83
total organic carbon,soil organic carbon,soil organic carbon,en,False,162045,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,87
cesd-soil quality,soil health,soil quality,en,False,162049,,https://w3id.org/eusoilvoc#SoilHealth,83
root water uptake,plant water uptake,plant water uptake,en,False,162062,,https://w3id.org/eusoilvoc#PlantWaterUptake,80
pore size distribution (psd),soil pore size distribution,soil pore size distribution,en,False,162077,,https://w3id.org/eusoilvoc#SoilPoreSizeDistribution,80
soil organic matter (som),soil organic matter,soil organic matter,en,False,162086,,https://w3id.org/eusoilvoc#SoilOrganicMatter,86
thermal conductivity,soil thermal conductivity,soil thermal conductivity,en,False,162094,,https://w3id.org/eusoilvoc#SoilThermalConductivity,89
productivity,soil productivity,soil productivity,en,False,162154,,https://w3id.org/eusoilvoc#SoilProductivity,83
biosorption,soil sorption,Bodensorption,de,False,162197,,https://w3id.org/eusoilvoc#SoilSorption,83
classification,void classification,void classification,en,False,162270,,https://w3id.org/eusoilvoc#VoidClassification,85
meteorology,lithology,petrology,en,False,162349,,https://w3id.org/eusoilvoc#Lithology,80
uv degradation,soil degradation,soil degradation,en,False,162368,,https://w3id.org/eusoilvoc#SoilDegradation,80
brain,rain,rain,en,False,162588,,https://w3id.org/eusoilvoc#Rain,89
pesticide mixture,pesticide use,pesticide use,en,False,163123,,https://w3id.org/eusoilvoc#PesticideUse,80
microbial,microbes,Microbi,it,False,163126,,https://w3id.org/eusoilvoc#Microbes,88
porosity,air porosity,air porosity,en,False,162708,,https://w3id.org/eusoilvoc#AirPorosity,80
water content,soil moisture,soil water content,en,False,162751,,https://w3id.org/eusoilvoc#SoilMoisture,84
filter,filtration,filtering,en,False,162806,,https://w3id.org/eusoilvoc#Filtration,80
soil nutrient analysis,soil nutrient loss,soil nutrient loss,en,False,162820,,https://w3id.org/eusoilvoc#SoilNutrientLoss,85
environmental water,environmental factors,environmental factor,en,False,162841,,https://w3id.org/eusoilvoc#EnvironmentalFactors,87
soc:clay ratio,clay ratio,clay ratio,en,False,163161,,https://w3id.org/eusoilvoc#ClayRatio,83
senet,sleet,sleet,en,False,163166,,https://w3id.org/eusoilvoc#Sleet,80
respiration rates,plant respiration,respiration des plantes,fr,True,163192,,https://w3id.org/eusoilvoc#PlantRespiration,80
soil compounds,soil components,soil components,en,False,163195,,https://w3id.org/eusoilvoc#SoilComponents,83
soil lipids,soil liquid,soil liquid,en,False,163196,,https://w3id.org/eusoilvoc#SoilLiquid,82
soil microbial community,soil microbial activity,soil microbial activity,en,False,163234,,https://w3id.org/eusoilvoc#SoilMicrobialActivity,81
crops,crop,crop,en,False,163243,,https://w3id.org/eusoilvoc#Crop,89
aggregation,soil aggregation,soil aggregation,en,False,163297,,https://w3id.org/eusoilvoc#SoilAggregation,81
social identification,soil denitrification,soil denitrification,en,False,163322,,https://w3id.org/eusoilvoc#SoilDenitrification,88
cultural ecosystem services,ecosystem services,ecosystem services,en,False,163326,,https://w3id.org/eusoilvoc#EcosystemServices,80
alkalinity,soil pH,soil alkalinity,en,False,163343,,https://w3id.org/eusoilvoc#SoilpH,80
carbone organique dissout (cod),soil organic carbon,carbone organique du sol,fr,False,163350,,https://w3id.org/eusoilvoc#SoilOrganicCarbon,80
ecologie,geology,Geologie,de,False,163364,,https://w3id.org/eusoilvoc#Geology,88
borneo,boron,bore,fr,False,163413,,https://w3id.org/eusoilvoc#Boron,80
105206 meteorology,lithology,petrology,en,False,163455,,https://w3id.org/eusoilvoc#Lithology,80
105206 meteorologie,lithology,Petrologie,de,False,163456,,https://w3id.org/eusoilvoc#Lithology,82
13 climate action,climate regulation,climate regulation,en,False,163556,,https://w3id.org/eusoilvoc#ClimateRegulation,81
pre depositional,parent deposition,parent deposition,en,False,163629,,https://w3id.org/eusoilvoc#ParentDeposition,85
error,iron,Ferro,it,False,163639,,https://w3id.org/eusoilvoc#Iron,80
microfiltration,filtration,filtration,en,False,163646,,https://w3id.org/eusoilvoc#Filtration,80
soil protection,soil retention,soil retention,en,False,163684,,https://w3id.org/eusoilvoc#SoilRetention,83
dissolved organic matter,soil organic matter,soil organic matter,en,False,163792,,https://w3id.org/eusoilvoc#SoilOrganicMatter,84
ecología,geology,Geología,es,False,163830,,https://w3id.org/eusoilvoc#Geology,88
groundwater inputs,groundwater depth,groundwater depth,en,False,163862,,https://w3id.org/eusoilvoc#GroundwaterDepth,80
106020 limnologie,lithology,Lithologie,de,False,163878,,https://w3id.org/eusoilvoc#Lithology,80
co2 emissions,emissions,emissions,en,False,163881,,https://w3id.org/eusoilvoc#Emissions,82
urban development,land use,arable land development,en,False,163985,,https://w3id.org/eusoilvoc#LandUse,80
soil physical-properties,soil physical properties,soil physical properties,en,False,164074,,https://w3id.org/eusoilvoc#SoilPhysicalProperties,96
soil organic carbon dynamics,soil organic carbon loss,soil organic carbon loss,en,False,164088,,https://w3id.org/eusoilvoc#SOCLoss,81
yield stability,soil stability,soil stability,en,False,164107,,https://w3id.org/eusoilvoc#SoilStability,83
crop yields,crop yield,crop yield,en,False,164112,,https://w3id.org/eusoilvoc#CropYield,95
soc saturation,soil saturation,soil saturation,en,False,164119,,https://w3id.org/eusoilvoc#SoilSaturation,90
desertification,soil desertification,soil desertification,en,False,164138,,https://w3id.org/eusoilvoc#SoilDesertification,86
risk management,soil management,soil management,en,False,164143,,https://w3id.org/eusoilvoc#SoilManagement,80
carbono,carbonate,carbonato,it,True,164154,,https://w3id.org/eusoilvoc#Carbonate,88
plant productivity,soil productivity,soil productivity,en,False,164172,,https://w3id.org/eusoilvoc#SoilProductivity,80
carbon content,carbonate contents,carbonate content,en,False,164221,,https://w3id.org/eusoilvoc#CarbonateContents,90
böden,soil,Boden,de,False,164236,,https://w3id.org/eusoilvoc#Soil,80
soil threats data,soil threats,soil threats,en,False,164257,,https://w3id.org/eusoilvoc#SoilThreats,83
actual evapotranspiration,evapotranspiration,evapotranspiration,en,False,164259,,https://w3id.org/eusoilvoc#Evapotranspiration,84
cec (cation exchange capacity),cation exchange capacity,cation exchange capacity,en,False,164279,,https://w3id.org/eusoilvoc#CationExchangeCapacity,89
soil functions data,soil functions,soil functions,en,False,164292,,https://w3id.org/eusoilvoc#SoilFunctions,85
soil education,soil location,soil location,en,False,164314,,https://w3id.org/eusoilvoc#SoilLocation,81
bodenkarten,soil cohesion,Bodenart,de,False,164322,,https://w3id.org/eusoilvoc#SoilCohesion,84
bodentypen,soil types,Bodentyp,de,False,164329,,https://w3id.org/eusoilvoc#SoilTypes,89
bodenschätzung,soil settlement,Bodensetzung,de,True,164348,,https://w3id.org/eusoilvoc#SoilSettlement,85
suoli,soil,Suolo,it,False,164372,,https://w3id.org/eusoilvoc#Soil,80
landcover,land cover,land cover,en,False,164377,,https://w3id.org/eusoilvoc#LandCover,95
soil region,soil aggregation,soil aggregation,en,False,164397,,https://w3id.org/eusoilvoc#SoilAggregation,81
bodenarten,soil cohesion,Bodenart,de,False,164434,,https://w3id.org/eusoilvoc#SoilCohesion,89
