"identifier","prefLabel"
"https://w3id.org/eusoilvoc#AcidityExchangeable","acidity exchangeable"
"https://w3id.org/eusoilvoc#AerationPorosity","aeration porosity"
"https://w3id.org/eusoilvoc#AggregatedSiltClay","aggregated silt clay"
"https://w3id.org/eusoilvoc#AgriculturalSustainability","agricultural sustainability"
"https://w3id.org/eusoilvoc#AirFilledPorosity","air filled porosity"
"https://w3id.org/eusoilvoc#AirQuality","air quality"
"https://w3id.org/eusoilvoc#AirRatio","air ratio"
"https://w3id.org/eusoilvoc#Aluminium","aluminium"
"https://w3id.org/eusoilvoc#AluminiumExchangeableBase","aluminium exchangeable base"
"https://w3id.org/eusoilvoc#AluminiumExtractableElements","aluminium extractable elements"
"https://w3id.org/eusoilvoc#AluminiumTotalElements","aluminium total elements"
"https://w3id.org/eusoilvoc#AntecedentSoilMoistureContents","antecedent soil moisture contents"
"https://w3id.org/eusoilvoc#AvailableWaterHoldingCapacity","available water holding capacity"
"https://w3id.org/eusoilvoc#BaseSaturation","base saturation"
"https://w3id.org/eusoilvoc#Biochannel","biochannel"
"https://w3id.org/eusoilvoc#BiologicalAbundance","biological abundance"
"https://w3id.org/eusoilvoc#BiologicalFeatures","biological features"
"https://w3id.org/eusoilvoc#BleachedSand","bleached sand"
"https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-cl-fc","BlkDensF_fe-cl-fc"
"https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-cl-od","BlkDensF_fe-cl-od"
"https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-cl-unkn","BlkDensF_fe-cl-unk"
"https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-co-fc","BlkDensF_fe-co-fc"
"https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-co-od","BlkDensF_fe-co-od"
"https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-co-unkn","BlkDensF_fe-co-unk"
"https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-rpl-unkn","BlkDensF_fe-rpl-unk"
"https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-unkn","BlkDensF_fe-unk"
"https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-unkn-fc","BlkDensF_fe-unkn-fc"
"https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-unkn-od","BlkDensF_fe-unkn-od"
"https://w3id.org/eusoilvoc#bulkDensityWholeSoilProcedure-BlkDensW_we-cl-fc","BlkDensW_we-cl-fc"
"https://w3id.org/eusoilvoc#bulkDensityWholeSoilProcedure-BlkDensW_we-cl-od","BlkDensW_we-cl-od"
"https://w3id.org/eusoilvoc#bulkDensityWholeSoilProcedure-BlkDensW_we-cl-unkn","BlkDensW_we-cl-unk"
"https://w3id.org/eusoilvoc#bulkDensityWholeSoilProcedure-BlkDensW_we-co-fc","BlkDensW_we-co-fc"
"https://w3id.org/eusoilvoc#bulkDensityWholeSoilProcedure-BlkDensW_we-co-od","BlkDensW_we-co-od"
"https://w3id.org/eusoilvoc#bulkDensityWholeSoilProcedure-BlkDensW_we-co-unkn","BlkDensW_we-co-unk"
"https://w3id.org/eusoilvoc#bulkDensityWholeSoilProcedure-BlkDensW_we-rpl-unkn","BlkDensW_we-rpl-unk"
"https://w3id.org/eusoilvoc#bulkDensityWholeSoilProcedure-BlkDensW_we-unkn","BlkDensW_we-unk"
"https://w3id.org/eusoilvoc#BoronExtractableElements","boron extractable elements"
"https://w3id.org/eusoilvoc#BoronTotalElements","boron total elements"
"https://w3id.org/eusoilvoc#BoundaryDistinctness","boundary distinctness"
"https://w3id.org/eusoilvoc#BoundaryTopography","boundary topography"
"https://w3id.org/eusoilvoc#baseSaturationProcedure-BSat_calcul-cec","BSat_calcul-cec"
"https://w3id.org/eusoilvoc#baseSaturationProcedure-BSat_calcul-ecec","BSat_calcul-ecec"
"https://w3id.org/eusoilvoc#Building","building"
"https://w3id.org/eusoilvoc#BuildingStability","building stability"
"https://w3id.org/eusoilvoc#BulkDensityFineEarth","bulk density fine earth"
"https://w3id.org/eusoilvoc#BulkDensityMineral","bulk density mineral"
"https://w3id.org/eusoilvoc#BulkDensityWholeSoil","bulk density whole soil"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-dc","CaCO3_acid-ch3cooh-dc"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-nodc","CaCO3_acid-ch3cooh-nodc"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-unkn","CaCO3_acid-ch3cooh-unk"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-dc","CaCO3_acid-dc"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-dc","CaCO3_acid-h2so4-dc"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-nodc","CaCO3_acid-h2so4-nodc"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-unkn","CaCO3_acid-h2so4-unk"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-dc","CaCO3_acid-h3po4-dc"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-nodc","CaCO3_acid-h3po4-nodc"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-unkn","CaCO3_acid-h3po4-unk"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-dc","CaCO3_acid-hcl-dc"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-nodc","CaCO3_acid-hcl-nodc"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-unkn","CaCO3_acid-hcl-unk"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-nodc","CaCO3_acid-nodc"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-unkn","CaCO3_acid-unk"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_ca01","CaCO3_ca01"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_ca02","CaCO3_ca02"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_ca03","CaCO3_ca03"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_ca04","CaCO3_ca04"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_ca05","CaCO3_ca05"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_ca06","CaCO3_ca06"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_ca07","CaCO3_ca07"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_ca08","CaCO3_ca08"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_ca09","CaCO3_ca09"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_ca10","CaCO3_ca10"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_ca11","CaCO3_ca11"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_ca12","CaCO3_ca12"
"https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_calcul-tc-oc","CaCO3_calcul-tc-oc"
"https://w3id.org/eusoilvoc#CadmiumExtractableElements","cadmium extractable elements"
"https://w3id.org/eusoilvoc#CadmiumTotalElements","cadmium total elements"
"https://w3id.org/eusoilvoc#Calcium","calcium"
"https://w3id.org/eusoilvoc#CalciumExchangeableBase","calcium exchangeable base"
"https://w3id.org/eusoilvoc#CalciumExtractableElements","calcium extractable elements"
"https://w3id.org/eusoilvoc#CalciumTotalElements","calcium total elements"
"https://w3id.org/eusoilvoc#CarbonPools","carbon pools"
"https://w3id.org/eusoilvoc#CarbonStorageCapacity","carbon storage capacity"
"https://w3id.org/eusoilvoc#CarbonateForms","carbonate forms"
"https://w3id.org/eusoilvoc#gypsumProcedure-CaSO4_gy01","CaSO4_gy01"
"https://w3id.org/eusoilvoc#gypsumProcedure-CaSO4_gy02","CaSO4_gy02"
"https://w3id.org/eusoilvoc#gypsumProcedure-CaSO4_gy03","CaSO4_gy03"
"https://w3id.org/eusoilvoc#gypsumProcedure-CaSO4_gy04","CaSO4_gy04"
"https://w3id.org/eusoilvoc#gypsumProcedure-CaSO4_gy05","CaSO4_gy05"
"https://w3id.org/eusoilvoc#gypsumProcedure-CaSO4_gy06","CaSO4_gy06"
"https://w3id.org/eusoilvoc#gypsumProcedure-CaSO4_gy07","CaSO4_gy07"
"https://w3id.org/eusoilvoc#CationExchange","cation exchange"
"https://w3id.org/eusoilvoc#CationExchangeCapacity","cation exchange capacity"
"https://w3id.org/eusoilvoc#CationExchangeCapacityEffective","cation exchange capacity effective"
"https://w3id.org/eusoilvoc#CationExchangeCapacitySoil","cation exchange capacity soil"
"https://w3id.org/eusoilvoc#CationSum","cation sum"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph-unkn-cacl2","CEC_ph-unkn-cacl2"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph-unkn-lioac","CEC_ph-unkn-lioac"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph-unkn-m3","CEC_ph-unkn-m3"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph0-ag-thioura","CEC_ph0-ag-thioura"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph0-bacl2","CEC_ph0-bacl2"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph0-cohex","CEC_ph0-cohex"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph0-kcl","CEC_ph0-kcl"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph0-nh4cl","CEC_ph0-nh4cl"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph0-nh4oac","CEC_ph0-nh4oac"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph0-unkn","CEC_ph0-unk"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph7-edta","CEC_ph7-edta"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph7-nh4oac","CEC_ph7-nh4oac"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph7-unkn","CEC_ph7-unk"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph8-bacl2tea","CEC_ph8-bacl2tea"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph8-baoac","CEC_ph8-baoac"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph8-licl2tea","CEC_ph8-licl2tea"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph8-naoac","CEC_ph8-naoac"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph8-nh4oac","CEC_ph8-nh4oac"
"https://w3id.org/eusoilvoc#cationExchangeCapacitySoilProcedure-CEC_ph8-unkn","CEC_ph8-unk"
"https://w3id.org/eusoilvoc#Cementation","cementation"
"https://w3id.org/eusoilvoc#CementationContinuity","cementation continuity"
"https://w3id.org/eusoilvoc#CementationDegree","cementation degree"
"https://w3id.org/eusoilvoc#CementationFabric","cementation fabric"
"https://w3id.org/eusoilvoc#CementationNature","cementation nature"
"https://w3id.org/eusoilvoc#CoarseFragments","coarse fragments"
"https://w3id.org/eusoilvoc#CoarseSand","coarse sand"
"https://w3id.org/eusoilvoc#CoatingAbundance","coating abundance"
"https://w3id.org/eusoilvoc#CoatingContrast","coating contrast"
"https://w3id.org/eusoilvoc#CoatingForms","coating forms"
"https://w3id.org/eusoilvoc#CoatingLocation","coating location"
"https://w3id.org/eusoilvoc#CoatingNature","coating nature"
"https://w3id.org/eusoilvoc#ColloidContentMoistureEquivalentRatio","colloid content moisture equivalent ratio"
"https://w3id.org/eusoilvoc#ConservationTillage","conservation tillage"
"https://w3id.org/eusoilvoc#ConservativeSolutes","conservative solutes"
"https://w3id.org/eusoilvoc#ConsistenceDry","consistence dry"
"https://w3id.org/eusoilvoc#ConsistenceMoist","consistence moist"
"https://w3id.org/eusoilvoc#ControlledDrainage","controlled drainage"
"https://w3id.org/eusoilvoc#CopperExtractableElements","copper extractable elements"
"https://w3id.org/eusoilvoc#CopperTotalElements","copper total elements"
"https://w3id.org/eusoilvoc#CriticalSoilOrganicMatterContents","critical soil organic matter contents"
"https://w3id.org/eusoilvoc#CropClass","crop class"
"https://w3id.org/eusoilvoc#CropResidueMulch","crop residue mulch"
"https://w3id.org/eusoilvoc#coarseFragmentsProcedure-CrsFrg_fld","CrsFrg_fld"
"https://w3id.org/eusoilvoc#coarseFragmentsProcedure-CrsFrg_fldcls","CrsFrg_fldcls"
"https://w3id.org/eusoilvoc#coarseFragmentsProcedure-CrsFrg_lab","CrsFrg_lab"
"https://w3id.org/eusoilvoc#CulturalServices","cultural services"
"https://w3id.org/eusoilvoc#DegreeOfSaturation","degree of saturation"
"https://w3id.org/eusoilvoc#DispersionRatio","dispersion ratio"
"https://w3id.org/eusoilvoc#DrainageToGroundwater","drainage to groundwater"
"https://w3id.org/eusoilvoc#DryConsistency","dry consistency"
"https://w3id.org/eusoilvoc#DrySoilBulkDensity","dry soil bulk density"
"https://w3id.org/eusoilvoc#electricalConductivityProcedure-EC_ratio1-1","EC_ratio1-1"
"https://w3id.org/eusoilvoc#electricalConductivityProcedure-EC_ratio1-10","EC_ratio1-10"
"https://w3id.org/eusoilvoc#electricalConductivityProcedure-EC_ratio1-2","EC_ratio1-2"
"https://w3id.org/eusoilvoc#electricalConductivityProcedure-EC_ratio1-2.5","EC_ratio1-2.5"
"https://w3id.org/eusoilvoc#electricalConductivityProcedure-EC_ratio1-5","EC_ratio1-5"
"https://w3id.org/eusoilvoc#electricalConductivityProcedure-ECe_sat","ECe_sat"
"https://w3id.org/eusoilvoc#effectiveCecProcedure-EffCEC_calcul-b","EffCEC_calcul-b"
"https://w3id.org/eusoilvoc#effectiveCecProcedure-EffCEC_calcul-ba","EffCEC_calcul-ba"
"https://w3id.org/eusoilvoc#EffectiveCEC","effective CEC"
"https://w3id.org/eusoilvoc#ErosionRatio","erosion ratio"
"https://w3id.org/eusoilvoc#acidityExchangeableProcedure-ExchAcid_ph0-kcl1m","ExchAcid_ph0-kcl1m"
"https://w3id.org/eusoilvoc#acidityExchangeableProcedure-ExchAcid_ph0-nh4cl","ExchAcid_ph0-nh4cl"
"https://w3id.org/eusoilvoc#acidityExchangeableProcedure-ExchAcid_ph0-unkn","ExchAcid_ph0-unk"
"https://w3id.org/eusoilvoc#acidityExchangeableProcedure-ExchAcid_ph7-caoac","ExchAcid_ph7-caoac"
"https://w3id.org/eusoilvoc#acidityExchangeableProcedure-ExchAcid_ph7-unkn","ExchAcid_ph7-unk"
"https://w3id.org/eusoilvoc#acidityExchangeableProcedure-ExchAcid_ph8-bacl2tea","ExchAcid_ph8-bacl2tea"
"https://w3id.org/eusoilvoc#acidityExchangeableProcedure-ExchAcid_ph8-unkn","ExchAcid_ph8-unk"
"https://w3id.org/eusoilvoc#ExchangeableCations","exchangeable cations"
"https://w3id.org/eusoilvoc#exchangeableBasesProcedure-ExchBases_ph-unkn-edta","ExchBases_ph-unkn-edta"
"https://w3id.org/eusoilvoc#exchangeableBasesProcedure-ExchBases_ph-unkn-m3","ExchBases_ph-unkn-m3"
"https://w3id.org/eusoilvoc#exchangeableBasesProcedure-ExchBases_ph-unkn-m3-spec","ExchBases_ph-unkn-m3-spec"
"https://w3id.org/eusoilvoc#exchangeableBasesProcedure-ExchBases_ph0-cohex","ExchBases_ph0-cohex"
"https://w3id.org/eusoilvoc#exchangeableBasesProcedure-ExchBases_ph0-nh4cl","ExchBases_ph0-nh4cl"
"https://w3id.org/eusoilvoc#exchangeableBasesProcedure-ExchBases_ph7-nh4oac","ExchBases_ph7-nh4oac"
"https://w3id.org/eusoilvoc#exchangeableBasesProcedure-ExchBases_ph7-nh4oac-aas","ExchBases_ph7-nh4oac-aas"
"https://w3id.org/eusoilvoc#exchangeableBasesProcedure-ExchBases_ph7-nh4oac-fp","ExchBases_ph7-nh4oac-fp"
"https://w3id.org/eusoilvoc#exchangeableBasesProcedure-ExchBases_ph7-unkn","ExchBases_ph7-unk"
"https://w3id.org/eusoilvoc#exchangeableBasesProcedure-ExchBases_ph8-bacl2tea","ExchBases_ph8-bacl2tea"
"https://w3id.org/eusoilvoc#exchangeableBasesProcedure-ExchBases_ph8-unkn","ExchBases_ph8-unk"
"https://w3id.org/eusoilvoc#ExternalFactors","external factors"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_ap14","Extr_ap14"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_ap15","Extr_ap15"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_ap20","Extr_ap20"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_ap21","Extr_ap21"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_c6h8o7-reeuwijk","Extr_c6h8o7-reeuwijk"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_cacl2","Extr_cacl2"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_capo4","Extr_capo4"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_dtpa","Extr_dtpa"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_edta","Extr_edta"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_h2so4-truog","Extr_h2so4-truog"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_hcl-h2so4-nelson","Extr_hcl-h2so4-nelso"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_hcl-nh4f-bray1","Extr_hcl-nh4f-bray1"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_hcl-nh4f-bray2","Extr_hcl-nh4f-bray2"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_hcl-nh4f-kurtz-bray","Extr_hcl-nh4f-kurtz-bray"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_hno3","Extr_hno3"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_hotwater","Extr_hotwater"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_m1","Extr_m1"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_m2","Extr_m2"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_m3","Extr_m3"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_m3-spec","Extr_m3-spec"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_nahco3-olsen","Extr_nahco3-ols"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_nahco3-olsen-dabin","Extr_nahco3-olsen-dabi"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_naoac-morgan","Extr_naoac-morga"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_nh4-co3-2-ambic1","Extr_nh4-co3-2-ambic1"
"https://w3id.org/eusoilvoc#extractableElementsProcedure-Extr_nh4ch3ch-oh-cooh-leuven","Extr_nh4ch3ch-oh-cooh-leuv"
"https://w3id.org/eusoilvoc#FineSand","fine sand"
"https://w3id.org/eusoilvoc#FloodDuration","flood duration"
"https://w3id.org/eusoilvoc#FloodFrequency","flood frequency"
"https://w3id.org/eusoilvoc#FluxControlledWaterInfiltration","flux controlled water infiltration"
"https://w3id.org/eusoilvoc#Fog","fog"
"https://w3id.org/eusoilvoc#FoundationStability","foundation stability"
"https://w3id.org/eusoilvoc#FoundationStrength","foundation strength"
"https://w3id.org/eusoilvoc#FragmentClass","fragment class"
"https://w3id.org/eusoilvoc#FragmentCover","fragment cover"
"https://w3id.org/eusoilvoc#FragmentSize","fragment size"
"https://w3id.org/eusoilvoc#Fragments","fragments"
"https://w3id.org/eusoilvoc#FriableConsistence","friable consistence"
"https://w3id.org/eusoilvoc#organicMatterProcedure-FulAcidC_unkn","FulAcidC_unk"
"https://w3id.org/eusoilvoc#GaseousCompositionOfSoilAir","gaseous composition of soil air"
"https://w3id.org/eusoilvoc#GeometricMeanDiametre","geometric mean diametre"
"https://w3id.org/eusoilvoc#Grasses","grasses"
"https://w3id.org/eusoilvoc#GypsumContents","gypsum contents"
"https://w3id.org/eusoilvoc#GypsumForms","gypsum forms"
"https://w3id.org/eusoilvoc#GypsumWeight","gypsum weight"
"https://w3id.org/eusoilvoc#HabitatProvisionCapacity","habitat provision capacity"
"https://w3id.org/eusoilvoc#Hail","hail"
"https://w3id.org/eusoilvoc#HarshConsistence","harsh consistence"
"https://w3id.org/eusoilvoc#organicMatterProcedure-HumAcidC_unkn","HumAcidC_unk"
"https://w3id.org/eusoilvoc#HumanInfluenceClass","human influence class"
"https://w3id.org/eusoilvoc#HydrogenExchangeableBases","hydrogen exchangeable bases"
"https://w3id.org/eusoilvoc#IndexBasedOnTextureAndCementingAgents","index based on texture and cementing agents"
"https://w3id.org/eusoilvoc#IndexOfCrusting","index of crusting"
"https://w3id.org/eusoilvoc#IndexOfErodibility","index of erodibility"
"https://w3id.org/eusoilvoc#IndexOfResistance","index of resistance"
"https://w3id.org/eusoilvoc#IndexOfStructuralStability","index of structural stability"
"https://w3id.org/eusoilvoc#carbonInorganicProcedure-InOrgC_calcul-caco3","InOrgC_calcul-caco3"
"https://w3id.org/eusoilvoc#carbonInorganicProcedure-InOrgC_calcul-tc-oc","InOrgC_calcul-tc-oc"
"https://w3id.org/eusoilvoc#InterAggregatePorosity","inter aggregate porosity"
"https://w3id.org/eusoilvoc#InteraggregatePores","interaggregate pores"
"https://w3id.org/eusoilvoc#Interflow","interflow"
"https://w3id.org/eusoilvoc#InterlatticeSwelling","interlattice swelling"
"https://w3id.org/eusoilvoc#InterparticleSwelling","interparticle swelling"
"https://w3id.org/eusoilvoc#InterstructuralPores","interstructural pores"
"https://w3id.org/eusoilvoc#IntraAggregatePorosity","intra aggregate porosity"
"https://w3id.org/eusoilvoc#IntraaggregatePores","intraaggregate pores"
"https://w3id.org/eusoilvoc#IntrinsicChargeDensity","intrinsic charge density"
"https://w3id.org/eusoilvoc#IonExchange","ion exchange"
"https://w3id.org/eusoilvoc#Ions","ions"
"https://w3id.org/eusoilvoc#IronExtractableElements","iron extractable elements"
"https://w3id.org/eusoilvoc#IronTotalElements","iron total elements"
"https://w3id.org/eusoilvoc#KoeppenClass","koeppen class"
"https://w3id.org/eusoilvoc#hydraulicConductivityProcedure-Ksat_bhole","Ksat_bhol"
"https://w3id.org/eusoilvoc#hydraulicConductivityProcedure-KSat_calcul-ptf","KSat_calcul-ptf"
"https://w3id.org/eusoilvoc#hydraulicConductivityProcedure-KSat_calcul-ptf-genuchten","KSat_calcul-ptf-genucht"
"https://w3id.org/eusoilvoc#hydraulicConductivityProcedure-KSat_calcul-ptf-saxton","KSat_calcul-ptf-saxto"
"https://w3id.org/eusoilvoc#hydraulicConductivityProcedure-Ksat_column","Ksat_colum"
"https://w3id.org/eusoilvoc#hydraulicConductivityProcedure-Ksat_dblring","Ksat_dblring"
"https://w3id.org/eusoilvoc#hydraulicConductivityProcedure-Ksat_invbhole","Ksat_invbhol"
"https://w3id.org/eusoilvoc#LabileSolutes","labile solutes"
"https://w3id.org/eusoilvoc#LandUseBareCover","land use bare cover"
"https://w3id.org/eusoilvoc#LandUseForests","land use forests"
"https://w3id.org/eusoilvoc#LandUseGrasses","land use grasses"
"https://w3id.org/eusoilvoc#LandUseShrubs","land use shrubs"
"https://w3id.org/eusoilvoc#LandformComplex","landform complex"
"https://w3id.org/eusoilvoc#LeastLimitingWaterRange","least limiting water range"
"https://w3id.org/eusoilvoc#LiquidConsistence","liquid consistence"
"https://w3id.org/eusoilvoc#LiquidRatio","liquid ratio"
"https://w3id.org/eusoilvoc#LiquidWasteDisposal","liquid waste disposal"
"https://w3id.org/eusoilvoc#LongitudinalDispersion","longitudinal dispersion"
"https://w3id.org/eusoilvoc#Macronutrients","macronutrients"
"https://w3id.org/eusoilvoc#Macroporosity","macroporosity"
"https://w3id.org/eusoilvoc#Magnesium","magnesium"
