identifier,label,uri,class
https://soilwise-he.github.io/soil-health#Mineralization,mineralisation,,soil functions
https://soilwise-he.github.io/soil-health#MicrobialBiomass,microbial biomass,,soil biological properties
https://soilwise-he.github.io/soil-health#SoilPollution,Soil pollution,http://aims.fao.org/aos/agrovoc/c_7183,soil threats
https://soilwise-he.github.io/soil-health#SoilOrganicMatter,soil organic matter,http://aims.fao.org/aos/agrovoc/c_35657,soil chemical properties
https://soilwise-he.github.io/soil-health#Decomposition,decomposition,https://data.geoscience.earth/ncl/ISO11074/3.3.7,soil functions
https://soilwise-he.github.io/soil-health#Carbon,carbon,http://aims.fao.org/aos/agrovoc/c_1301,soil chemical properties
https://soilwise-he.github.io/soil-health#Water,water,http://aims.fao.org/aos/agrovoc/c_8309,soil chemical properties
https://soilwise-he.github.io/soil-health#MineralFertilisers,mineral fertilisers,http://aims.fao.org/aos/agrovoc/c_27870,soil chemical properties
https://soilwise-he.github.io/soil-health#SoilOrganicCarbon,soil organic carbon,http://aims.fao.org/aos/agrovoc/c_389fe908,soil chemical properties
https://soilwise-he.github.io/soil-health#Biodiversity,biodiversity,http://aims.fao.org/aos/agrovoc/c_33949,soil biological properties
https://soilwise-he.github.io/soil-health#ChemicalCompositionOfSoc,chemical composition of SOC,,soil chemical properties
https://soilwise-he.github.io/soil-health#Respiration,respiration,http://aims.fao.org/aos/agrovoc/c_9421,soil biological properties
https://soilwise-he.github.io/soil-health#Nitrogen,nitrogen,http://aims.fao.org/aos/agrovoc/c_5192,soil chemical properties
https://soilwise-he.github.io/soil-health#Nutrients,nutrients,http://aims.fao.org/aos/agrovoc/c_5274,soil chemical properties
https://soilwise-he.github.io/soil-health#AggregateStability,aggregate stability,,soil physical properties
https://soilwise-he.github.io/soil-health#SoilErosion,Soil erosion,http://aims.fao.org/aos/agrovoc/c_2651,soil threats
https://soilwise-he.github.io/soil-health#Urbanisation,urbanisation,http://aims.fao.org/aos/agrovoc/c_8088,soil threats
https://soilwise-he.github.io/soil-health#Alfisols,alfisols,http://aims.fao.org/aos/agrovoc/c_4470,soil classification
https://soilwise-he.github.io/soil-health#SoilProductivity,soil productivity,https://data.geoscience.earth/ncl/ISO11074/5.1.10,soil functions
https://soilwise-he.github.io/soil-health#SoilProperties,soil properties,http://aims.fao.org/aos/agrovoc/c_330883,
https://soilwise-he.github.io/soil-health#SoilFertility,soil fertility,http://aims.fao.org/aos/agrovoc/c_7170,soil functions
https://soilwise-he.github.io/soil-health#FoodProduction,Food production,http://aims.fao.org/aos/agrovoc/c_3025,soil functions
https://soilwise-he.github.io/soil-health#Plants,plants,http://aims.fao.org/aos/agrovoc/c_5993,soil biological properties
https://soilwise-he.github.io/soil-health#Vegetation,vegetation,http://aims.fao.org/aos/agrovoc/c_8176,soil biological properties
https://soilwise-he.github.io/soil-health#WaterHoldingCapacity,water holding capacity,http://aims.fao.org/aos/agrovoc/c_25304,soil physical properties
https://soilwise-he.github.io/soil-health#SoilStability,soil stability,,soil physical properties
https://soilwise-he.github.io/soil-health#Indicators,indicators,http://aims.fao.org/aos/agrovoc/c_330058,
https://soilwise-he.github.io/soil-health#EcosystemServices,ecosystem services,http://aims.fao.org/aos/agrovoc/c_1348040570280,soil functions
https://soilwise-he.github.io/soil-health#EnvironmentalDegradation,environmental degradation,http://aims.fao.org/aos/agrovoc/c_34821,soil threats
https://soilwise-he.github.io/soil-health#BulkDensity,bulk density,https://data.geoscience.earth/ncl/ISO11074/3.1.1,soil physical properties
https://soilwise-he.github.io/soil-health#SoilNutrientAvailability,soil nutrient availability,,soil chemical properties
https://soilwise-he.github.io/soil-health#PlantResidues,plant residues,http://aims.fao.org/aos/agrovoc/c_16118,soil management
https://soilwise-he.github.io/soil-health#AvailableWaterCapacity,available water capacity,https://data.geoscience.earth/ncl/ISO11074/2.1.3,soil physical properties
https://soilwise-he.github.io/soil-health#CationExchangeCapacity,cation exchange capacity,http://aims.fao.org/aos/agrovoc/c_24981,soil chemical properties
https://soilwise-he.github.io/soil-health#SoilDegradation,soil degradation,http://aims.fao.org/aos/agrovoc/c_7168,soil threats
https://soilwise-he.github.io/soil-health#FoodSecurity,food security,http://aims.fao.org/aos/agrovoc/c_10967,soil functions
https://soilwise-he.github.io/soil-health#WaterInfiltration,water infiltration,,soil physical properties
https://soilwise-he.github.io/soil-health#SoilRestoration,soil restoration,https://data.geoscience.earth/ncl/ISO11074/5.2.28,soil management
https://soilwise-he.github.io/soil-health#WaterConservation,water conservation,http://aims.fao.org/aos/agrovoc/c_8315,soil functions
https://soilwise-he.github.io/soil-health#SoilPotential,soil potential,,
https://soilwise-he.github.io/soil-health#Compost,compost,,soil management
https://soilwise-he.github.io/soil-health#AirQuality,air quality,http://aims.fao.org/aos/agrovoc/c_a2ef545f,
https://soilwise-he.github.io/soil-health#Biomaterials,biomaterials,,
https://soilwise-he.github.io/soil-health#TerrestrialEcosystems,terrestrial ecosystems,,ecosystem services
https://soilwise-he.github.io/soil-health#Acidification,acidification,http://aims.fao.org/aos/agrovoc/c_90,soil threats
https://soilwise-he.github.io/soil-health#SoilBiodiversity,Soil biodiversity,,soil functions
https://soilwise-he.github.io/soil-health#Desertification,desertification,http://aims.fao.org/aos/agrovoc/c_2204,soil threats
https://soilwise-he.github.io/soil-health#NutrientDepletion,nutrient depletion,http://aims.fao.org/aos/agrovoc/c_3a9953a5,soil threats
https://soilwise-he.github.io/soil-health#LandDegradation,land degradation,http://aims.fao.org/aos/agrovoc/c_34823,soil threats
https://soilwise-he.github.io/soil-health#EcosystemFunctions,ecosystem functions,,ecosystem services
https://soilwise-he.github.io/soil-health#Contamination,contamination,http://aims.fao.org/aos/agrovoc/c_28317,soil threats
https://soilwise-he.github.io/soil-health#HydrologicalCycle,hydrological cycle,http://aims.fao.org/aos/agrovoc/c_11670,
https://soilwise-he.github.io/soil-health#AgriculturalSubsidies,agricultural subsidies,,economics
https://soilwise-he.github.io/soil-health#Productivity,productivity,http://aims.fao.org/aos/agrovoc/c_6210,soil functions
https://soilwise-he.github.io/soil-health#Cultivation,cultivation,http://aims.fao.org/aos/agrovoc/c_2018,soil management
https://soilwise-he.github.io/soil-health#CarbonStocks,carbon stocks,,soil chemical properties
https://soilwise-he.github.io/soil-health#SoilBiologicalActivity,Soil biological activity,,soil biological properties
https://soilwise-he.github.io/soil-health#SoilCover,soil cover,,
https://soilwise-he.github.io/soil-health#SoilProtection,soil protection,https://data.geoscience.earth/ncl/ISO11074/5.3.4,soil management
https://soilwise-he.github.io/soil-health#CropYieldResponse,crop yield response,,soil biological properties
https://soilwise-he.github.io/soil-health#SoilVariability,soil variability,,
https://soilwise-he.github.io/soil-health#SOCContent,SOC content,,soil chemical properties
https://soilwise-he.github.io/soil-health#WindErosion,Wind erosion,http://aims.fao.org/aos/agrovoc/c_8393,soil threats
https://soilwise-he.github.io/soil-health#WaterErosion,Water erosion,http://aims.fao.org/aos/agrovoc/c_8318,soil threats
https://soilwise-he.github.io/soil-health#SoilNutrientStatus,soil nutrient status,,soil chemical properties
https://soilwise-he.github.io/soil-health#SoilFunctionIndicators,soil function indicators,,indicators
https://soilwise-he.github.io/soil-health#EnvironmentalQuality,environmental quality,,
https://soilwise-he.github.io/soil-health#LandProductivity,land productivity,http://aims.fao.org/aos/agrovoc/c_4176,
https://soilwise-he.github.io/soil-health#SpatialQuantification,spatial quantification,,
https://soilwise-he.github.io/soil-health#SewageSludge,sewage sludge,http://aims.fao.org/aos/agrovoc/c_7008,soil management
https://soilwise-he.github.io/soil-health#Antibiotics,antibiotics,http://aims.fao.org/aos/agrovoc/c_492,soil threats
https://soilwise-he.github.io/soil-health#ElementCycling,element cycling,,
https://soilwise-he.github.io/soil-health#WaterPurification,water purification,http://aims.fao.org/aos/agrovoc/c_34145,soil functions
https://soilwise-he.github.io/soil-health#WindErosionRate,wind erosion rate,,soil threats
https://soilwise-he.github.io/soil-health#PlantHealth,Plant health,http://aims.fao.org/aos/agrovoc/c_25398,ecosystem services
https://soilwise-he.github.io/soil-health#SoilCapability,soil capability,,soil functions
https://soilwise-he.github.io/soil-health#RegulatingServices,regulating services,http://aims.fao.org/aos/agrovoc/c_eff3625d,ecosystem services
https://soilwise-he.github.io/soil-health#DegradedSoils,degraded soils,,soil threats
https://soilwise-he.github.io/soil-health#Digestate,digestate,http://aims.fao.org/aos/agrovoc/c_4af94ce2,soil management
https://soilwise-he.github.io/soil-health#BiologicalProductivity,biological productivity,,
https://soilwise-he.github.io/soil-health#SoilSealing,Soil sealing,http://aims.fao.org/aos/agrovoc/c_f9554e7c,soil threats
https://soilwise-he.github.io/soil-health#SoilTemperatureFluctuations,soil temperature fluctuations,,soil physical properties
https://soilwise-he.github.io/soil-health#SoilCarbonStocks,soil carbon stocks,,soil chemical properties
https://soilwise-he.github.io/soil-health#LabileFractionOfSoc,labile fraction of SOC,,soil chemical properties
https://soilwise-he.github.io/soil-health#SoilRehabilitation,soil rehabilitation,http://aims.fao.org/aos/agrovoc/c_33534,soil management
https://soilwise-he.github.io/soil-health#NetBiomeProductivity,net biome productivity,,
https://soilwise-he.github.io/soil-health#AnimalHealth,animal health,http://aims.fao.org/aos/agrovoc/c_431,
https://soilwise-he.github.io/soil-health#BiochemicalProcesses,biochemical processes,http://aims.fao.org/aos/agrovoc/c_331094,soil processes
https://soilwise-he.github.io/soil-health#NaturalCapital,natural capital,http://aims.fao.org/aos/agrovoc/c_dfe84e21,soil functions
https://soilwise-he.github.io/soil-health#WaterCapacity,water capacity,,soil physical properties
https://soilwise-he.github.io/soil-health#HumanHealth,Human health,http://aims.fao.org/aos/agrovoc/c_c722a312,
https://soilwise-he.github.io/soil-health#LandManagementChanges,land management changes,,soil management
https://soilwise-he.github.io/soil-health#TerrestrialLayer,terrestrial layer,,
https://soilwise-he.github.io/soil-health#ContaminatedSites,contaminated sites,,soil threats
https://soilwise-he.github.io/soil-health#PhysicalSoilParameters,physical soil parameters,,soil physical properties
https://soilwise-he.github.io/soil-health#SoilExcavation,soil excavation,,soil threats
https://soilwise-he.github.io/soil-health#SOMLoss,SOM loss,,soil threats
https://soilwise-he.github.io/soil-health#SoilPhysicalDegradation,soil physical degradation,,soil threats
https://soilwise-he.github.io/soil-health#Entisols,entisols,http://aims.fao.org/aos/agrovoc/c_b10d627e,soil classification
https://soilwise-he.github.io/soil-health#SoilFunctioning,Soil functioning,,soil processes
https://soilwise-he.github.io/soil-health#SoilParameters,soil parameters,,
https://soilwise-he.github.io/soil-health#ClimateResilience,climate resilience,http://aims.fao.org/aos/agrovoc/c_8a6031d8,soil functions
https://soilwise-he.github.io/soil-health#AnimalManure,animal manure,,soil management
https://soilwise-he.github.io/soil-health#SurfaceRunoff,surface run-off,,
https://soilwise-he.github.io/soil-health#Manganese,Manganese,http://aims.fao.org/aos/agrovoc/c_4570,soil chemical properties
https://soilwise-he.github.io/soil-health#SpeciesDiversity,Species diversity,http://aims.fao.org/aos/agrovoc/c_00ba8c53,soil functions
https://soilwise-he.github.io/soil-health#SoilMicroorganismDiversity,soil microorganism diversity,,soil biological properties
https://soilwise-he.github.io/soil-health#CropYields,Crop yields,,soil functions
https://soilwise-he.github.io/soil-health#SoilAcidification,Soil acidification,,soil threats
https://soilwise-he.github.io/soil-health#AcidPrecipitation,Acidic precipitation,,soil threats
https://soilwise-he.github.io/soil-health#SandySoils,Sandy soils,http://aims.fao.org/aos/agrovoc/c_6781,soil classification
https://soilwise-he.github.io/soil-health#FineSoil,fine soil,http://aims.fao.org/aos/agrovoc/c_5749f32e,soil classification
https://soilwise-he.github.io/soil-health#FibreProduction,fibre production,,
https://soilwise-he.github.io/soil-health#Necromass,necromass,,soil biological properties
https://soilwise-he.github.io/soil-health#Liming,Liming,http://aims.fao.org/aos/agrovoc/c_25206,soil management
https://soilwise-he.github.io/soil-health#Waterlogging,Waterlogging,http://aims.fao.org/aos/agrovoc/c_8333,soil threats
https://soilwise-he.github.io/soil-health#CropResidueInput,crop residue input,,soil management
https://soilwise-he.github.io/soil-health#PlantNutrients,Plant nutrients,,soil functions
https://soilwise-he.github.io/soil-health#Macronutrients,macronutrients,http://aims.fao.org/aos/agrovoc/c_5dbd59ad,soil functions
https://soilwise-he.github.io/soil-health#Sulphur,sulphur,http://aims.fao.org/aos/agrovoc/c_7514,soil chemical properties
https://soilwise-he.github.io/soil-health#AgriculturalSoilManagement,agricultural soil management,,
https://soilwise-he.github.io/soil-health#Subsoil,Subsoil,http://aims.fao.org/aos/agrovoc/c_7486,
https://soilwise-he.github.io/soil-health#Boron,boron,http://aims.fao.org/aos/agrovoc/c_1018,soil chemical properties
https://soilwise-he.github.io/soil-health#LandCoverChange,land cover change,http://aims.fao.org/aos/agrovoc/c_9000093,soil functions
https://soilwise-he.github.io/soil-health#Copper,copper,http://aims.fao.org/aos/agrovoc/c_1868,soil chemical properties
https://soilwise-he.github.io/soil-health#CriticalConcentrations,Critical concentrations,,
https://soilwise-he.github.io/soil-health#HydraulicConductivity,Hydraulic conductivity,http://aims.fao.org/aos/agrovoc/c_25579,soil physical properties
https://soilwise-he.github.io/soil-health#CompactionSusceptibility,compaction susceptibility,,soil physical properties
https://soilwise-he.github.io/soil-health#NaturalSoils,natural soils,,soil classification
https://soilwise-he.github.io/soil-health#SoilAnimalDiversity,soil animal diversity,,soil biological properties
https://soilwise-he.github.io/soil-health#Iron,iron,http://aims.fao.org/aos/agrovoc/c_3950,soil chemical properties
https://soilwise-he.github.io/soil-health#SOCLosses,soil organic carbon losses,,soil threats
https://soilwise-he.github.io/soil-health#NutrientTurnover,Nutrient turnover,,soil biological properties
https://soilwise-he.github.io/soil-health#SoilCarbonConcentrations,soil carbon concentrations,,soil chemical properties
https://soilwise-he.github.io/soil-health#ProductionOfFood,Production of food,,soil functions
https://soilwise-he.github.io/soil-health#LandTake,Land take,http://aims.fao.org/aos/agrovoc/c_03e78242,
https://soilwise-he.github.io/soil-health#RainwaterInfiltration,Rainwater infiltration,,soil physical properties
https://soilwise-he.github.io/soil-health#AgriculturalSoils,Agricultural soils,http://aims.fao.org/aos/agrovoc/c_33934,soil classification
https://soilwise-he.github.io/soil-health#SoilCrusting,soil crusting,,
https://soilwise-he.github.io/soil-health#Urea,Urea,http://aims.fao.org/aos/agrovoc/c_8090,soil chemical properties
https://soilwise-he.github.io/soil-health#SoilCompaction,Soil compaction,http://aims.fao.org/aos/agrovoc/c_7163,soil threats
https://soilwise-he.github.io/soil-health#RiskAssessmentTools,Risk assessment tools,,
https://soilwise-he.github.io/soil-health#Molybdenum,molybdenum,http://aims.fao.org/aos/agrovoc/c_4901,soil chemical properties
https://soilwise-he.github.io/soil-health#NitricAcid,Nitric acid,http://aims.fao.org/aos/agrovoc/c_5188,soil chemical properties
https://soilwise-he.github.io/soil-health#Phosphorus,Phosphorus,http://aims.fao.org/aos/agrovoc/c_5804,soil chemical properties
https://soilwise-he.github.io/soil-health#NutrientAvailability,nutrient availability,http://aims.fao.org/aos/agrovoc/c_5268,soil functions
https://soilwise-he.github.io/soil-health#nuMicrotrients,micronutrients,http://aims.fao.org/aos/agrovoc/c_7834,soil chemical properties
https://soilwise-he.github.io/soil-health#Disturbance,disturbance,http://aims.fao.org/aos/agrovoc/c_cbe171b4,soil threats
https://soilwise-he.github.io/soil-health#FunctionalGroups,Functional groups,,
https://soilwise-he.github.io/soil-health#Ammonia,Ammonia,http://aims.fao.org/aos/agrovoc/c_349,soil chemical properties
https://soilwise-he.github.io/soil-health#AmmoniumBasedFertilizers,Ammonium-based fertilisers,,soil management
https://soilwise-he.github.io/soil-health#SOCStock,SOC stock,,soil chemical properties
https://soilwise-he.github.io/soil-health#StructuralSoilStability,structural soil stability,,soil physical properties
https://soilwise-he.github.io/soil-health#Drainage,drainage,http://aims.fao.org/aos/agrovoc/c_2372,soil physical properties
https://soilwise-he.github.io/soil-health#SoilConditions,soil conditions,,
https://soilwise-he.github.io/soil-health#TillageErosion,Tillage erosion,http://aims.fao.org/aos/agrovoc/c_924f2195,soil threats
https://soilwise-he.github.io/soil-health#IndustrialArea,Industrial area,,land use
https://soilwise-he.github.io/soil-health#BaseCations,Base cations,,soil chemical properties
https://soilwise-he.github.io/soil-health#BiomassProduction,biomass production,http://aims.fao.org/aos/agrovoc/c_adfffd29,soil biological properties
https://soilwise-he.github.io/soil-health#NitrateNitrogen,nitrate nitrogen,,soil chemical properties
https://soilwise-he.github.io/soil-health#Cadmium,cadmium,http://aims.fao.org/aos/agrovoc/c_1178,soil chemical properties
https://soilwise-he.github.io/soil-health#NitrousOxide,Nitrous oxide,http://aims.fao.org/aos/agrovoc/c_12838,soil chemical properties
https://soilwise-he.github.io/soil-health#AmmoniumNitrogen,Ammonium nitrogen,http://aims.fao.org/aos/agrovoc/c_37457,soil chemical properties
https://soilwise-he.github.io/soil-health#Potassium,potassium,http://aims.fao.org/aos/agrovoc/c_6139,soil chemical properties
https://soilwise-he.github.io/soil-health#RegionalConditions,regional conditions,,
https://soilwise-he.github.io/soil-health#Sedimentation,sedimentation,http://aims.fao.org/aos/agrovoc/c_6926,soil processes
https://soilwise-he.github.io/soil-health#AbioticEnvironment,Abiotic environment,,
https://soilwise-he.github.io/soil-health#pH,pH,http://aims.fao.org/aos/agrovoc/c_5753,soil chemical properties
https://soilwise-he.github.io/soil-health#EnvironmentalCompartments,Environmental compartments,,soil biological properties
https://soilwise-he.github.io/soil-health#Magnesium,Magnesium,http://aims.fao.org/aos/agrovoc/c_4517,soil chemical properties
https://soilwise-he.github.io/soil-health#Aluminium,Aluminium,http://aims.fao.org/aos/agrovoc/c_317,soil chemical properties
https://soilwise-he.github.io/soil-health#SubIndicators,Sub-indicators,,indicators
https://soilwise-he.github.io/soil-health#ForestSoils,Forest soils,http://aims.fao.org/aos/agrovoc/c_3051,soil classification
https://soilwise-he.github.io/soil-health#Contaminants,contaminants,http://aims.fao.org/aos/agrovoc/c_4ba65a4a,soil threats
https://soilwise-he.github.io/soil-health#Microbiome,Microbiome,,soil biological properties
https://soilwise-he.github.io/soil-health#CarbonStorage,carbon storage,,soil chemical properties
https://soilwise-he.github.io/soil-health#SoilCommunities,Soil communities,,
https://soilwise-he.github.io/soil-health#Zinc,zinc,http://aims.fao.org/aos/agrovoc/c_8517,soil chemical properties
https://soilwise-he.github.io/soil-health#Nitrate,Nitrate,,soil chemical properties
https://soilwise-he.github.io/soil-health#EcosystemFunctioning,Ecosystem functioning,,ecosystem services
https://soilwise-he.github.io/soil-health#Methane,Methane,http://aims.fao.org/aos/agrovoc/c_4784,soil chemical properties
https://soilwise-he.github.io/soil-health#Infrastructure,Infrastructure,http://aims.fao.org/aos/agrovoc/c_26790,
https://soilwise-he.github.io/soil-health#SoilLayer,soil layer,,
https://soilwise-he.github.io/soil-health#Settlement,Settlement,,
https://soilwise-he.github.io/soil-health#Rooting,Rooting,http://aims.fao.org/aos/agrovoc/c_6649,soil biological properties
https://soilwise-he.github.io/soil-health#SoilOrganisms,Soil organisms,http://aims.fao.org/aos/agrovoc/c_33552,soil biological properties
https://soilwise-he.github.io/soil-health#Calcium,Calcium,http://aims.fao.org/aos/agrovoc/c_1196,soil chemical properties
https://soilwise-he.github.io/soil-health#GreenhouseGasEmissions,Greenhouse gas emissions,http://aims.fao.org/aos/agrovoc/c_36198c2c,soil processes
https://soilwise-he.github.io/soil-health#EnergyTransformations,Energy transformations,,ecosystem services
https://soilwise-he.github.io/soil-health#AnthropogenicErosion,Anthropogenic erosion,,soil threats
https://soilwise-he.github.io/soil-health#HighNutrientStatus,high nutrient status,,soil functions